Date,Open,High,Low,Close,Volume,atr,sma-5,sma-10,sma-20,sma-50,sma-100,rsi,macd,signal_macd,stoch_oscillator
2/14/2002,112.5100021,112.9700012,111.5899963,112.0599976,20453800,1.8815548326129456,111.38999784,110.53399809,111.70399970000001,113.837399898,111.797700192,49.587288486122574,-0.8285984734038436,-1.0183146302303578,61.33722835647893
2/15/2002,112.1500015,112.2399979,110.7099991,110.8899994,18366800,1.8495928739420835,111.54999846000001,110.35799788,111.56499976,113.749399868,111.89960021699999,45.54754417999009,-0.8002811760147779,-0.9747079375062274,60.57231428296267
2/19/2002,110.1500015,110.2900009,108.6100006,108.7600021,15988100,1.8887232667882297,111.01399839999999,110.24899823999999,111.34549979,113.57659988000002,111.96970023799999,39.27457002403523,-0.938827624618753,-0.9675318746810958,42.27834039307603
2/20/2002,109.0500031,110.5899963,107.8199997,110.5899963,29242800,1.9688438293165544,110.9139984,110.39099805000001,111.25649947,113.44159988,112.06170020700002,46.138072115198376,-0.8907419463018584,-0.9521738885812606,37.26425882967618
2/21/2002,109.9300003,110.6299973,108.2600021,108.3000031,26288600,2.005314124091721,110.1199997,110.35099867,111.009999455,113.27639998999999,112.12200027200001,40.039441305322406,-1.0255375476321973,-0.9668466207155038,24.4689195354787
2/22/2002,108.3499985,109.9400024,107.8700027,109.6399994,26572900,2.0111949224646026,109.63600005999999,110.51299895,110.812999335,113.181600032,112.174000242,44.649912387927486,-1.0125950793366343,-0.9759963126013909,31.54877408463304
2/25/2002,109.7399979,111.8099976,109.6999969,111.4499969,17458700,2.025632234569369,109.74799956,110.64899900999998,110.707999025,113.12759994,112.24580024500001,50.218057323516014,-0.846566107958239,-0.950110271306867,38.19477746609027
2/26/2002,111.5999985,112.0400009,110.5699997,111.2200012,22346500,1.9751182532096239,110.23999938,110.62699889000001,110.57599905499998,113.06639998800001,112.302200239,49.536125933132624,-0.7251816993829863,-0.9051245564134004,57.28152635813149
2/27/2002,111.9599991,112.8600006,110.6500015,111.6500015,28597900,1.9964718526219294,110.45200041999999,110.68299941000001,110.64449919,113.05820006600001,112.345200269,50.87913969812631,-0.5875215575885875,-0.8416039560738142,70.29124489899021
2/28/2002,111.8300018,112.75,111.0299988,111.1500015,23755400,1.9713373060632464,111.02200009999999,110.57099989999999,110.60849913,113.01860014999998,112.38230026000001,49.23821699730689,-0.5128504509801814,-0.7758532545792495,68.34952766518616
3/1/2002,111.7200012,113.8499985,111.5100021,113.7399979,26273600,2.0375811350714788,111.84199980000001,110.73899993,110.63649901,113.007400046,112.44740020500001,56.97836272750429,-0.2419339629673658,-0.6690693956386364,79.06831101244157
3/4/2002,113.9000015,115.9899979,113.6500015,115.75,27184600,2.0650742010628504,112.70200042000002,111.22499999000001,110.791498935,113.02279997800001,112.539600217,61.84119280369515,0.13339222324583488,-0.5085770711183926,86.63281208836713
3/5/2002,115.3300018,116.4000015,114.9700012,115.3799973,22718900,2.007338741622657,113.53399964,111.88699950999998,111.06799887499999,113.014599906,112.63380019899999,60.48585042984911,0.3964194404938297,-0.327577768125283,94.45002254227234
3/6/2002,115.0999985,117.1500015,115.0699997,116.75,20143200,2.0139446269415386,114.55399933999999,112.50299987999999,111.44699896499999,113.056599876,112.71810020199999,63.66154569894428,0.7072477637696437,-0.12061266113279569,93.62900983907353
3/7/2002,117.3600006,117.5,115.5699997,116.5,19330800,2.0063131640812246,115.62399903999999,113.32299957000001,111.83699912,113.087599938,112.78310020199999,62.671714749080806,0.9227736254354397,0.08806459667571319,91.16466758925877
3/8/2002,117.3799973,117.9000015,116.4800034,116.9899979,19930100,1.9530107760735043,116.27399903999999,114.05799942000002,112.285499185,113.132799828,112.858000181,63.85785664958081,1.120199408536763,0.29449155943954347,92.11811641098791
3/11/2002,116.8899994,117.9000015,116.4300003,117.2399979,15621800,1.909100051810304,116.57199862,114.63699951999999,112.642999265,113.170399774,112.937400129,64.47804827903455,1.2820519809916675,0.49200364404973435,91.36465211171026
3/12/2002,116.0999985,117.25,115.9400024,117.1699982,17153600,1.854635332425423,116.92999879999999,115.23199922,112.929499055,113.19259978599999,113.009200132,64.14613597636472,1.388665428132768,0.6713360010840806,92.38211175060253
3/13/2002,116.6299973,116.75,115.6399994,116.0400009,17175300,1.825122496678638,116.78799898,115.67099916,113.176999285,113.193399804,113.093100126,58.87718213387016,1.3662361357065151,0.8103160281435635,89.20992401057894
3/14/2002,116.0400009,116.4300003,115.6299973,115.8799973,11168100,1.7319285988346127,116.66399844,116.14399874,113.35749931999999,113.22499968799998,113.177700117,58.14884571997839,1.3203308884943112,0.9123190002929762,83.18108062753942
3/15/2002,115.9700012,116.9499969,115.9000015,116.6500015,21220100,1.6717525213105562,116.59599915999999,116.43499909999998,113.586999515,113.247399742,113.27070014700001,60.67031400132883,1.3307378266848673,0.9960027656233769,79.92274644771216
3/18/2002,117.0999985,117.5599976,116.0999985,116.6699982,17548900,1.6525020026379276,116.48199921999999,116.52699892000001,113.87599945500001,113.24399978,113.342700117,60.73647244870945,1.3253211356890091,1.0618664396692588,80.44901722818024
3/19/2002,117.3000031,117.7399979,116.8199997,117.4499969,17912000,1.5995467285813674,116.53799896000001,116.73399888000002,114.31049919499999,113.240599664,113.42810004900001,63.327798375401684,1.368191014868799,1.1231313547335415,86.47698423409607
3/20/2002,116.5,116.5800018,115.1900024,115.2399979,17114500,1.6595879703059773,116.37799835999999,116.58299867000001,114.54299927500001,113.20959960399999,113.494300001,52.71256073517399,1.2099028511528047,1.1404856540229178,78.28551707820345
